Epoch,Step Avg Time,Overall Step Time,# Calls,Epoch Time,Training Loss,Validation Loss,Validation Accuracy
1,10.537890637207031,6586.1816482543945,625,41.061856508255005,4.006548803329467,3.572109425903126,16.39
2,10.233351400756836,6395.8446254730225,625,39.721705198287964,3.446357416152954,3.2090729831889937,22.54
3,10.23106746673584,6394.4171667099,625,39.71423530578613,3.123404043197632,2.966817476187542,26.54
4,10.215779489135743,6384.862180709839,625,39.68116998672485,2.8743288692474365,2.7578722762454086,30.12
5,10.221009284973144,6388.130803108215,625,39.69037985801697,2.690161457061768,2.6196243914828936,32.99
6,10.214254138183593,6383.908836364746,625,39.68769383430481,2.5220048011779785,2.5178186939020826,35.84
7,10.220301496887208,6387.688435554504,625,39.72246861457825,2.3889578075408937,2.4055017946632047,38.07
8,10.215314167785644,6384.571354866028,625,39.670130014419556,2.2557984350204467,2.317387302969671,39.91
9,10.220581677246093,6387.863548278809,625,39.71438980102539,2.1357326913833616,2.2911153492654206,40.61
10,10.214368827819824,6383.98051738739,625,39.68414902687073,2.025418387031555,2.1955874892556744,42.74
11,10.22020647277832,6387.62904548645,625,39.70265579223633,1.9149401279449463,2.150870836464463,44.16
12,10.215533743286132,6384.708589553833,625,39.70805740356445,1.8071920110702515,2.0813821151757694,45.62
13,10.220824147033692,6388.015091896057,625,39.72684597969055,1.704496676826477,2.076070513694909,46.12
14,10.214322950744629,6383.951844215393,625,39.71922421455383,1.6081733320236207,2.069399585389787,46.07
15,10.229764897155762,6393.603060722351,625,39.7780225276947,1.5230405473709105,2.002960911981619,48.17
16,10.28159075012207,6425.994218826294,625,39.799381256103516,1.4263119367599488,2.01060159267134,48.89
17,10.220611148071288,6387.881967544556,625,39.7291841506958,1.3351621971130372,1.993025714424765,48.47
18,10.214141082763671,6383.838176727295,625,39.708041191101074,1.2628477544784547,2.007289476455397,49.34
19,10.220524313354492,6387.827695846558,625,39.7060546875,1.1692886822700501,1.9633722722910012,50.11
20,10.215247018432617,6384.529386520386,625,39.70765662193298,1.0901885922431946,2.013663640447483,50.22
21,10.220973258972167,6388.108286857605,625,39.73587965965271,1.0129831518173218,2.0113188347239404,51.05
22,10.214180436706544,6383.862772941589,625,39.74304676055908,0.9293323986530304,2.0357915648988856,50.89
23,10.220622608947753,6387.889130592346,625,39.72909188270569,0.8576056065559388,2.0626948904839293,50.62
24,10.215600869750977,6384.75054359436,625,39.7270941734314,0.7895860324859619,2.131240897117906,50.26
25,10.220573461914062,6387.858413696289,625,39.72262501716614,0.7250296179294586,2.141622828070525,50.39
26,10.214168942260741,6383.855588912964,625,39.71816635131836,0.6547108842372894,2.1883567951287435,50.38
Total time:,1109.112295,,,,,,
Total Accuracy:,50.99,,,,,,
